time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/std,train/clip_fraction,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/value_loss
113,19,342,38912,1.0296859741210938,0.101513671875,0.2,45424.65234375,0.010012505,180,-14.46752128303051,0.0,-0.022948578099021687,0.0003,81505.93024902344
122,20,334,40960,1.031371831893921,0.141357421875,0.2,39009.2109375,0.011411829,190,-14.487769335508347,1.1920928955078125e-06,-0.028808577536256052,0.0003,82940.90629882812
132,21,325,43008,1.0310304164886475,0.120263671875,0.2,35088.359375,0.011365222,200,-14.497150593996048,4.112720489501953e-06,-0.026769300951855257,0.0003,72150.39349365234
141,22,318,45056,1.0292398929595947,0.130615234375,0.2,35739.11328125,0.012136634,210,-14.482036823034287,1.3768672943115234e-05,-0.02959252747823484,0.0003,69738.88448486329
151,23,310,47104,1.0285426378250122,0.113427734375,0.2,36274.125,0.010189785,220,-14.468541938066483,-7.712841033935547e-05,-0.026493966185080355,0.0003,73260.93846435547
162,24,302,49152,1.0300233364105225,0.111376953125,0.2,33726.75390625,0.0108534675,230,-14.47583115696907,-0.0039435625076293945,-0.02740244116575923,0.0003,77475.47100830078
173,25,295,51200,1.0310988426208496,0.128662109375,0.2,36647.0546875,0.011981501,240,-14.485085153579712,-9.5367431640625e-06,-0.0283531410881551,0.0003,74870.58338623047
183,26,289,53248,1.0267400741577148,0.132763671875,0.2,32404.71875,0.012285608,250,-14.46857355237007,-6.413459777832031e-05,-0.030864409322384746,0.0003,67418.874609375
194,27,284,55296,1.026779294013977,0.11279296875,0.2,35417.5,0.011248971,260,-14.451057329773903,2.3245811462402344e-06,-0.027591406932333484,0.0003,69698.16920166016
206,28,277,57344,1.0272815227508545,0.107080078125,0.2,29901.275390625,0.010428689,270,-14.45486980676651,1.5497207641601562e-06,-0.02668951383966487,0.0003,59327.19201660156
218,29,271,59392,1.0302001237869263,0.100537109375,0.2,42217.58203125,0.011110262,280,-14.470331487059592,1.2516975402832031e-06,-0.025880981000955216,0.0003,94725.7707763672
230,30,266,61440,1.0306154489517212,0.140283203125,0.2,25536.81640625,0.012415654,290,-14.489678874611855,-0.0035436153411865234,-0.030430102521495427,0.0003,54104.5591796875
242,31,261,63488,1.0308735370635986,0.0990234375,0.2,42136.4453125,0.009969763,300,-14.486315602064133,-3.0517578125e-05,-0.025612735244794748,0.0003,80893.0794921875
256,32,255,65536,1.032838225364685,0.117724609375,0.2,34874.08203125,0.011457994,310,-14.499039128422737,0.0,-0.028432893288845663,0.0003,69026.82720947266
269,33,250,67584,1.0374914407730103,0.104833984375,0.2,48432.73828125,0.011280149,320,-14.529606640338898,1.7881393432617188e-07,-0.024268353403022046,0.0003,98464.9689453125
283,34,245,69632,1.041990041732788,0.134375,0.2,27365.388671875,0.012425913,330,-14.571889847517014,1.9073486328125e-06,-0.030607309067272583,0.0003,65595.43579101562
297,35,241,71680,1.0412896871566772,0.1306640625,0.2,34972.83984375,0.012277659,340,-14.585613811016083,2.384185791015625e-07,-0.030923333278042264,0.0003,78862.11939697266
311,36,236,73728,1.044015884399414,0.152490234375,0.2,21984.23828125,0.014372855,350,-14.601610487699508,-0.012114644050598145,-0.034883021099085455,0.0003,42275.47715454102
326,37,232,75776,1.0467504262924194,0.107275390625,0.2,38082.25,0.011051201,360,-14.620209509134293,5.960464477539063e-08,-0.02894829290016787,0.0003,79326.80477294922
341,38,227,77824,1.0501797199249268,0.156591796875,0.2,32399.0390625,0.013593979,370,-14.655311834812164,-0.012163996696472168,-0.030566260950581636,0.0003,65471.62504882812
358,39,222,79872,1.0532487630844116,0.1283203125,0.2,36994.10546875,0.012699386,380,-14.67660416662693,-1.2159347534179688e-05,-0.02910284105746541,0.0003,86832.898046875
375,40,218,81920,1.0572469234466553,0.142919921875,0.2,33627.0625,0.01369901,390,-14.716461458802224,9.5367431640625e-07,-0.031037027403363025,0.0003,71429.69031982422
