time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/clip_range
482,194560,403,95,-0.02241814136505127,1.425847053527832,0.054150390625,0.0003,940,2324.956252861023,-0.014576530861086212,1040.012451171875,-17.699248534440994,0.007897324,0.2
482,196608,407,96,-0.09947144985198975,1.429970145225525,0.096435546875,0.0003,950,1928.3800647735595,-0.023499864045879802,182.11935424804688,-17.716886842250823,0.010351213,0.2
482,198656,411,97,0.020059585571289062,1.4314672946929932,0.067626953125,0.0003,960,1888.9724583625793,-0.01590544721693732,706.063720703125,-17.733940494060516,0.008541593,0.2
482,200704,415,98,-0.08841109275817871,1.4343458414077759,0.133544921875,0.0003,970,2000.945562839508,-0.02095176885923138,1003.6245727539062,-17.7546569108963,0.015613041,0.2
482,202752,420,99,-0.046164870262145996,1.4424461126327515,0.1001953125,0.0003,980,1910.3905797481536,-0.02013067798980046,584.71923828125,-17.795227968692778,0.010732733,0.2
482,204800,424,100,-0.09460020065307617,1.4436477422714233,0.044970703125,0.0003,990,1833.5244030475617,-0.016580482211429624,1423.8916015625,-17.82357256412506,0.007089585,0.2
482,206848,428,101,0.0016208291053771973,1.4447686672210693,0.026953125,0.0003,1000,1649.1473374843597,-0.013646304281428457,114.4322509765625,-17.828963494300844,0.0061410577,0.2
482,208896,432,102,-0.0983896255493164,1.4428787231445312,0.092724609375,0.0003,1010,1828.2608411550523,-0.016530976456124336,222.2339630126953,-17.822426068782807,0.010009242,0.2
483,210944,436,103,-0.10169994831085205,1.4445174932479858,0.078076171875,0.0003,1020,1790.1841197729111,-0.019119250765652396,278.2045593261719,-17.82922955751419,0.009794745,0.2
483,212992,440,104,-0.16265535354614258,1.4487240314483643,0.037109375,0.0003,1030,1582.8149243831635,-0.016444448017864488,737.7761840820312,-17.847005933523178,0.0068697706,0.2
482,215040,445,105,-0.3526960611343384,1.455914855003357,0.066259765625,0.0003,1040,2002.5713197231294,-0.01667138505144976,355.2974548339844,-17.88645014166832,0.010368776,0.2
482,217088,449,106,-0.04859292507171631,1.460023283958435,0.057763671875,0.0003,1050,1990.3491551876068,-0.018317002471303568,1625.2198486328125,-17.926230943202974,0.00977358,0.2
483,219136,453,107,-0.18211698532104492,1.4601043462753296,0.083251953125,0.0003,1060,1829.3980963230133,-0.02113085059390869,258.6734924316406,-17.935892951488494,0.010702192,0.2
483,221184,457,108,-0.17496442794799805,1.4579776525497437,0.036865234375,0.0003,1070,1963.8531067848205,-0.014162192295771092,249.9489288330078,-17.929462832212447,0.0072852243,0.2
483,223232,462,109,-0.03504526615142822,1.4620321989059448,0.129345703125,0.0003,1080,1828.080464887619,-0.023070986321545205,1891.3858642578125,-17.94044647216797,0.01259632,0.2
483,225280,466,110,-0.09674155712127686,1.4550975561141968,0.106201171875,0.0003,1090,1821.573478770256,-0.01923191918322118,157.15167236328125,-17.92686159014702,0.013684377,0.2
483,227328,470,111,-0.06831634044647217,1.4609155654907227,0.0515625,0.0003,1100,1707.930167722702,-0.017121581904939377,814.8795166015625,-17.923451179265975,0.007039074,0.2
483,229376,474,112,-0.2308741807937622,1.4616693258285522,0.0552734375,0.0003,1110,1824.4914915561676,-0.016371262514439877,175.70750427246094,-17.939723008871077,0.007808383,0.2
483,231424,478,113,-0.13619625568389893,1.4675711393356323,0.108154296875,0.0003,1120,1936.556332707405,-0.02267916426062584,717.7636108398438,-17.97411420941353,0.01125581,0.2
483,233472,482,114,-0.04475510120391846,1.4716306924819946,0.0333984375,0.0003,1130,1976.4044461727142,-0.01387218724412378,150.18983459472656,-17.999874460697175,0.0061888834,0.2
483,235520,487,115,-0.10440969467163086,1.4718705415725708,0.096240234375,0.0003,1140,2014.6452127218247,-0.021926324284868313,1024.596923828125,-18.005633240938188,0.012495111,0.2
483,237568,491,116,-0.047087669372558594,1.4759548902511597,0.026806640625,0.0003,1150,2135.812619972229,-0.012772908486658708,1571.8748779296875,-18.024689024686815,0.004563827,0.2
483,239616,495,117,-0.20782625675201416,1.4788563251495361,0.065625,0.0003,1160,2006.282861804962,-0.01966908849135507,1951.2789306640625,-18.043525558710098,0.009400608,0.2
483,241664,499,118,0.020256876945495605,1.481705665588379,0.033447265625,0.0003,1170,1841.4035757541656,-0.014842576792580076,929.103515625,-18.064648467302323,0.006284701,0.2
483,243712,503,119,-0.15351927280426025,1.486552119255066,0.150146484375,0.0003,1180,1928.00299949646,-0.021682893624529243,141.15077209472656,-18.092209869623183,0.01723472,0.2
483,245760,507,120,-0.016681313514709473,1.494384765625,0.113671875,0.0003,1190,1779.5470626592637,-0.013084040716057644,262.1097717285156,-18.139918565750122,0.012296368,0.2
483,247808,512,121,-0.02216506004333496,1.4996826648712158,0.126416015625,0.0003,1200,1763.2534576892854,-0.027776737362728454,655.9190673828125,-18.18231620788574,0.012651792,0.2
483,249856,516,122,-0.18664050102233887,1.5040247440338135,0.068896484375,0.0003,1210,1612.4442878723144,-0.01735433858993929,580.40185546875,-18.22026718258858,0.008482788,0.2
484,251904,520,123,0.0692058801651001,1.508104681968689,0.08408203125,0.0003,1220,1682.9857031106949,-0.018524166164570487,761.6535034179688,-18.24040151834488,0.011201307,0.2
484,253952,524,124,-0.13165569305419922,1.5103172063827515,0.11611328125,0.0003,1230,1884.2227778434753,-0.02236840112309437,595.1949462890625,-18.258300292491914,0.0147880865,0.2
483,256000,528,125,-0.09939062595367432,1.5100784301757812,0.014453125,0.0003,1240,1783.5172484874724,-0.0116833730135113,1069.314453125,-18.267109984159468,0.004091465,0.2
484,258048,533,126,0.019990980625152588,1.5119234323501587,0.021923828125,0.0003,1250,2350.078943157196,-0.012898364683496765,516.7537841796875,-18.274644511938096,0.0049942005,0.2
484,260096,537,127,-0.18097436428070068,1.519922137260437,0.079736328125,0.0003,1260,2042.6214638233184,-0.02033253712579608,627.03515625,-18.309334659576415,0.01003996,0.2
484,262144,541,128,-0.13699126243591309,1.533521056175232,0.172607421875,0.0003,1270,1985.4094418525697,-0.02360753860557452,273.5739440917969,-18.38482722043991,0.0152650215,0.2
484,264192,545,129,-0.07966351509094238,1.53520929813385,0.07841796875,0.0003,1280,2014.3074761390685,-0.018713912749080918,711.3687744140625,-18.434203726053237,0.013537019,0.2
484,266240,549,130,-0.10724771022796631,1.5385559797286987,0.0798828125,0.0003,1290,1933.053350687027,-0.01755105278571136,1332.421630859375,-18.448173260688783,0.008557218,0.2
484,268288,553,131,-0.14427638053894043,1.5437978506088257,0.115185546875,0.0003,1300,1936.801682806015,-0.022469672515580897,170.8791046142578,-18.47598777413368,0.013754103,0.2
484,270336,558,132,-0.008928894996643066,1.5501278638839722,0.10263671875,0.0003,1310,1828.3872220039368,-0.021044538752175868,254.7947540283203,-18.513937640190125,0.011035727,0.2
484,272384,562,133,-0.03211534023284912,1.5538252592086792,0.068701171875,0.0003,1320,1827.5010056972503,-0.019125444028759375,235.57034301757812,-18.541208803653717,0.008051311,0.2
484,274432,566,134,-0.14959502220153809,1.558428406715393,0.076806640625,0.0003,1330,1957.1008575201035,-0.01556831580819562,1557.9705810546875,-18.574027079343796,0.009978261,0.2
484,276480,570,135,-0.06321084499359131,1.5654767751693726,0.162646484375,0.0003,1340,2071.1271664619444,-0.023916660770191812,2615.64794921875,-18.612025797367096,0.018018171,0.2
