timestamp,step,episode,base_pos_x,base_pos_y,base_pos_z,base_vel_x,base_vel_y,base_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,ee1_pos_x,ee1_pos_y,ee1_pos_z,ee2_pos_x,ee2_pos_y,ee2_pos_z,ee3_pos_x,ee3_pos_y,ee3_pos_z,ee4_pos_x,ee4_pos_y,ee4_pos_z,target_x,target_y,target_z,distance_to_target,ee_target_distances,tendon_force_index,tendon_force_middle,tendon_force_ring,tendon_force_thumb,control_linear_x,control_linear_y,control_linear_z,control_angular_x,control_angular_y,control_angular_z,tactile_deformation_spans,tactile_contact_detected,reward,distance_reward,tendon_efficiency_reward,success
1759211553.6994896,14,7,0.0006771957630444599,0.0004159718957270288,0.017874420683104485,0.16253899536700672,0.09986303562497836,0.044106333045880186,-0.00031191728647383954,-0.00019208404213089114,-0.40423627654607347,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4414121006645181,0,0.62753046,0.69270825,0.5766185,0.35353044,1.0,0.4609575,-0.6743138,1.0,-1.0,-1.0,0.0,0,0.04358485435850323,0.029266937726804613,0.14374030828475953,False
1759211553.7036154,15,"{'r': 0.021582436012916623, 'l': 1, 't': 1759211553.684451}",-0.0012328487977109565,0.0012495598624595022,0.018770015743916534,-0.2958716992142932,0.299924147640772,0.259049147640772,0.7208731869756959,-0.6671553345018405,0.1688506765887163,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4415404174324371,0,0.0,0.028201878,0.057995677,0.42116547,-0.98648846,1.0,1.0,0.9009689,-0.8348031,0.20962885,0.0,0,0.06703867394043264,0.029236909631026372,0.18731592446565629,False
1759211553.7058494,16,8,0.0007921001814691223,0.0007040815955805006,0.017874473321054442,0.1901160557889257,0.16900936358981158,0.044118966153870065,-0.0003059030746417335,-0.00013463807384472837,0.3549877489623311,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4412496051623717,0,0.79344165,0.46634355,0.41452435,0.7217609,1.0,0.7118126,-0.5094174,-0.5342694,-0.78876513,0.54476535,0.0,0,0.06249006011226596,0.02930500843265477,0.140098237991333,False
1759211553.7080965,17,"{'r': 0.04599710378940232, 'l': 1, 't': 1759211553.6867023}",-3.132401788625309e-08,-1.1336188786079995e-07,0.017874584272087133,4.4944720436618235e-06,2.5737974048596624e-06,0.04414559440171614,-0.0002934637117261163,0.0001581347552139234,1.3247248259018463e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44193590196206967,0,0.6541616,0.6225641,1.0,0.20899624,-0.40145034,-0.09142356,-0.66747296,0.8301592,-0.43625286,1.0,0.0,0,0.053826269810849134,0.029144553845578125,0.13785694837570192,False
1759211553.710474,18,9,0.00011213377786768357,0.0002751423650003981,0.018770059268156572,0.02692411892458042,0.06606394825058699,0.2590595934583816,0.7995791538910799,0.7998896324657028,0.05492853575363783,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4411062823357787,0,0.7914113,1.0,0.0,0.0,0.08976664,0.22026119,1.0,1.0,1.0,0.0706858,0.0,0,0.04363834109323142,0.029338628316093667,0.15521471798419953,False
1759211553.712744,19,"{'r': 0.0806731204372081, 'l': 1, 't': 1759211553.6889708}",-0.00044046361125899,0.0009115208975119874,0.018336367876290855,-0.10569925446582125,0.21879479605336843,0.1549736594106092,0.1795825063425711,0.7742002910021004,0.3398677026488421,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4415298011328413,0,0.6951374,0.98598945,1.0,0.34779078,-0.3524079,0.7294755,0.6529716,0.22554195,0.9677559,0.42540336,0.0,0,0.03638130243811416,0.02923939283880998,0.12427706122398377,False
1759211553.7150939,20,10,-7.829768269873123e-08,-1.79251633580122e-07,0.017874586640937027,-6.77920751133293e-06,-1.323974156777763e-05,0.044146162925690735,0.0005336547086927657,-9.37098585791496e-05,9.316829594996356e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44193594911853246,0,0.43051562,0.0,0.30210674,1.0,-0.06068536,-0.26010856,-1.0,-0.47297406,0.3483713,1.0,0.0,0,0.06629662696291501,0.029144542850747645,0.1566844403743744,False
1759211553.7174287,21,"{'r': 0.020616897599659678, 'l': 1, 't': 1759211553.6912289}",0.0009656152410697545,-0.0011948867785720508,0.017874936477520992,0.23175967009307744,-0.28674304620680074,0.044230123705841895,0.0008134726127193848,0.0006575055340098945,-0.22384732685684397,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4417975513739917,0,1.0,0.10437852,0.67091,0.29337624,0.84741193,-1.0,0.110330805,0.2632311,1.0,-0.47547972,0.0,0,0.05328581707940441,0.029176829032758277,0.1482833802700043,False
1759211553.719684,22,11,0.0003696735340583441,-0.0004550196612241886,0.017874555784401204,0.08873366041033895,-0.10917493804331382,0.04413875735709255,-6.351428734407971e-05,-3.56142149292582e-05,0.15697700119666738,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4418815718358945,0,0.23711327,0.0,0.7387589,0.0,0.86043483,-0.6667177,-1.0,1.0,0.5776299,0.44765776,0.0,0,0.06568401070215867,0.02915722401716874,0.17560319602489471,False
1759211553.723691,23,"{'r': 0.055075316162759624, 'l': 1, 't': 1759211553.6934962}",0.0008352931550214926,-0.0012196138642090917,0.01793268804289873,0.20048236944149458,-0.29267754675969054,0.058090499396498546,-0.0006992422560972156,0.139433496008739,-0.22074863597505193,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4418360809449579,0,0.6836475,0.0,0.39651212,0.0,0.70220286,-1.0,0.24684916,-0.2531085,1.0,-0.50306565,0.0,0,0.07689383044787138,0.02916783705301966,0.1729960083961487,False
