time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/value_loss,train/clip_range
77824,38,311,250,-14.991429114341736,0.0003,22336.091796875,-3.337860107421875e-06,0.14443359375,-0.031250731326872484,0.0142917875,1.08493971824646,370,46782.22685546875,0.2
79872,39,326,244,-14.99102125763893,0.0003,40735.29296875,-1.4781951904296875e-05,0.094677734375,-0.023942096887913066,0.009452801,1.0830867290496826,380,83702.42489013672,0.2
81920,40,342,239,-15.00969789326191,0.0003,27689.658203125,-2.384185791015625e-07,0.145166015625,-0.03291031957778614,0.013115122,1.0883468389511108,390,55271.72666015625,0.2
83968,41,359,233,-15.034131288528442,0.0003,28987.65625,7.748603820800781e-07,0.128125,-0.02883605199313024,0.012456685,1.088556170463562,400,52909.03327636719,0.2
86016,42,376,228,-15.056465566158295,0.0003,23103.169921875,9.238719940185547e-06,0.11845703125,-0.028055717912502588,0.011994584,1.0938639640808105,410,57325.35385742188,0.2
88064,43,394,223,-15.091277876496315,0.0003,26116.349609375,0.00021690130233764648,0.126904296875,-0.02984815210365923,0.013514524,1.0957213640213013,420,61539.892333984375,0.2
90112,44,412,218,-15.100646263360977,0.0003,35766.0703125,-0.0019081830978393555,0.142919921875,-0.03369538900151383,0.012851038,1.096787929534912,430,69786.85720214844,0.2
92160,45,431,213,-15.134192767739297,0.0003,37798.3046875,3.5762786865234375e-07,0.12265625,-0.029484771346324122,0.012615664,1.1019015312194824,440,69871.49838867187,0.2
94208,46,451,208,-15.158928099274636,0.0003,17874.109375,1.1920928955078125e-07,0.17255859375,-0.036113774629484396,0.015357424,1.1028876304626465,450,48570.29018554687,0.2
96256,47,471,204,-15.21794855594635,0.0003,26370.287109375,-1.1920928955078125e-07,0.14970703125,-0.032392227980017195,0.01434222,1.1135660409927368,460,60843.78720703125,0.2
98304,48,492,199,-15.276557061076165,0.0003,29724.12109375,7.152557373046875e-07,0.147509765625,-0.03187675654189661,0.01382493,1.1169987916946411,470,56373.69440917969,0.2
100352,49,515,194,-15.283866134285926,0.0003,28982.74609375,2.980232238769531e-07,0.113427734375,-0.026587477960856632,0.011063235,1.1163146495819092,480,60739.05167236328,0.2
102400,50,538,190,-15.302249455451966,0.0003,28520.61328125,5.960464477539063e-08,0.1498046875,-0.03374764356849482,0.013514606,1.121168613433838,490,57826.43020019531,0.2
