time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/loss,train/std,train/approx_kl,train/value_loss,train/explained_variance
409,45,225,92160,440,-0.029731957451440395,0.1400390625,0.0003,-14.860518544912338,0.2,42093.76953125,1.0716999769210815,0.014086651,79972.53610839843,0.0
424,46,222,94208,450,-0.03153298136894591,0.14326171875,0.0003,-14.895804262161255,0.2,31564.669921875,1.078619360923767,0.013130303,66530.60252685547,4.76837158203125e-07
439,47,218,96256,460,-0.030702025468053763,0.14697265625,0.0003,-14.940719905495644,0.2,40410.09375,1.0812419652938843,0.014106263,81365.99235839843,-3.254413604736328e-05
455,48,215,98304,470,-0.03318183224764652,0.161328125,0.0003,-14.97011733353138,0.2,33629.2421875,1.0842316150665283,0.014840372,67095.36405029296,-3.5762786865234375e-07
472,49,212,100352,480,-0.030751761159626766,0.152734375,0.0003,-14.99517181813717,0.2,30816.2265625,1.0875829458236694,0.013624206,73294.4739013672,-1.1920928955078125e-07
489,50,209,102400,490,-0.029869841111940333,0.14609375,0.0003,-15.017649546265602,0.2,35190.4375,1.0891035795211792,0.0135699,75095.83671875,8.130073547363281e-05
504,51,206,104448,500,-0.027770268777385355,0.114111328125,0.0003,-15.037326100468636,0.2,31747.029296875,1.0917428731918335,0.011084605,69718.46418457032,1.9073486328125e-06
520,52,204,106496,510,-0.027389852341730147,0.122216796875,0.0003,-15.07708407640457,0.2,37213.71484375,1.098068118095398,0.012199623,86622.41967773438,-2.384185791015625e-07
536,53,202,108544,520,-0.030390648453612813,0.144580078125,0.0003,-15.131516090035438,0.2,32833.87109375,1.1036049127578735,0.013939153,73944.95268554687,4.172325134277344e-07
555,54,199,110592,530,-0.03169615808874369,0.14638671875,0.0003,-15.153094455599785,0.2,31697.1171875,1.1042665243148804,0.013776616,71958.7815185547,1.1920928955078125e-07
574,55,196,112640,540,-0.03140560277097393,0.150634765625,0.0003,-15.178634080290795,0.2,24843.69921875,1.1080372333526611,0.013432285,53266.987060546875,6.556510925292969e-07
593,56,193,114688,550,-0.03130251795228105,0.13759765625,0.0003,-15.213282310962677,0.2,33230.8515625,1.1127713918685913,0.012800023,72744.41052246094,-3.5762786865234375e-07
612,57,190,116736,560,-0.02854458826186601,0.110986328125,0.0003,-15.240892890095711,0.2,35314.71875,1.1160439252853394,0.011095976,72098.15046386719,4.172325134277344e-07
631,58,188,118784,570,-0.032164328990620564,0.14716796875,0.0003,-15.269741407036781,0.2,38051.2109375,1.1190602779388428,0.013457384,77152.13175048828,-1.1920928955078125e-07
651,59,185,120832,580,-0.028376317821675913,0.1529296875,0.0003,-15.277396103739738,0.2,40775.74609375,1.118399739265442,0.012537345,75650.66149902344,1.7881393432617188e-07
671,60,182,122880,590,-0.03353715458652005,0.16123046875,0.0003,-15.27734944820404,0.2,26916.4453125,1.119423508644104,0.01443915,59053.40560302734,5.960464477539063e-08
691,61,180,124928,600,-0.030740775470621883,0.131396484375,0.0003,-15.298890271782875,0.2,36644.328125,1.1227631568908691,0.01371216,77433.11470947266,1.7881393432617188e-07
712,62,178,126976,610,-0.03404888898949139,0.203564453125,0.0003,-15.324188691377639,0.2,13414.6875,1.124341368675232,0.018087292,32551.287365722656,1.1920928955078125e-07
733,63,175,129024,620,-0.032348857830220366,0.14970703125,0.0003,-15.362793153524398,0.2,37592.046875,1.1308984756469727,0.0137589965,71783.6048461914,1.7881393432617188e-07
754,64,173,131072,630,-0.031435207900358364,0.165283203125,0.0003,-15.39160153567791,0.2,28889.26953125,1.1317788362503052,0.014691969,53237.14221191406,-0.004358172416687012
776,65,171,133120,640,-0.03338884846016299,0.158642578125,0.0003,-15.380091723799705,0.2,24160.09765625,1.1290923357009888,0.015048025,45968.803186035155,-0.005302548408508301
798,66,169,135168,650,-0.03109612964617554,0.139501953125,0.0003,-15.394568645954132,0.2,39436.16796875,1.1343716382980347,0.013550203,67681.49848632813,1.1920928955078125e-07
820,67,167,137216,660,-0.025386260941741057,0.11259765625,0.0003,-15.41887274980545,0.2,38938.6328125,1.1348577737808228,0.0108687505,81462.30673828124,0.0
