time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/std,train/n_updates
304,139264,457,68,2.3464109820273483e-09,0.0003,0.2,-0.04552857431699522,-15.661480262875557,0.02963323,0.25341796875,-1.9251048564910889,-0.2189440131187439,1.1618578433990479,670
309,141312,457,69,2.279525606989352e-09,0.0003,0.2,-0.042578193594818,-15.65364505648613,0.025702639,0.252685546875,-10.86960220336914,-0.2170497477054596,1.1613556146621704,680
313,143360,457,70,1.4692272559710222e-07,0.0003,0.2,-0.0399044374236837,-15.647797709703445,0.02567679,0.243701171875,-12.51557445526123,-0.21024617552757263,1.1597979068756104,690
317,145408,457,71,4.87019468711769e-09,0.0003,0.2,-0.044885174016235395,-15.664054998755455,0.028688516,0.255517578125,-7.069735527038574,-0.25830546021461487,1.1640141010284424,700
322,147456,457,72,3.3405624599858185e-09,0.0003,0.2,-0.05151354595436715,-15.727072393894195,0.029387206,0.279296875,-3.164647102355957,-0.20816731452941895,1.1743340492248535,710
327,149504,457,73,3.3602223609499602e-09,0.0003,0.2,-0.05083198985666968,-15.747588038444519,0.032119833,0.291748046875,-6.138271331787109,-0.229304701089859,1.171026587486267,720
331,151552,457,74,6.9220111266130036e-09,0.0003,0.2,-0.04710373765556142,-15.75309850871563,0.03516721,0.293701171875,-1.7843244075775146,-0.22458581626415253,1.1744657754898071,730
335,153600,457,75,1.240220293519112e-07,0.0003,0.2,-0.04432576031540521,-15.748802524805068,0.02645285,0.262451171875,-5.235021591186523,-0.17854635417461395,1.1710954904556274,740
340,155648,457,76,1.5255354851584357e-08,0.0003,0.2,-0.03097186267550569,-15.757500952482223,0.02155954,0.230126953125,-6.367612838745117,-0.1701902598142624,1.1746928691864014,750
344,157696,457,77,5.777979759577501e-09,0.0003,0.2,-0.044995977645157836,-15.769050219655037,0.030138187,0.27939453125,-3.548161506652832,-0.2161911129951477,1.174088716506958,760
349,159744,457,78,1.457034144725089e-09,0.0003,0.2,-0.047778257704339924,-15.780560201406479,0.031078456,0.283349609375,-1.1765828132629395,-0.2066117525100708,1.1758370399475098,770
353,161792,457,79,2.1066648224488118e-09,0.0003,0.2,-0.027621253079269083,-15.797274765372276,0.023168348,0.228564453125,-6.373970031738281,-0.19352468848228455,1.1776014566421509,780
358,163840,457,80,1.878328958647077e-09,0.0003,0.2,-0.034922643619938756,-15.827926614880562,0.028380577,0.27646484375,-8.280414581298828,-0.1716277301311493,1.180292010307312,790
362,165888,457,81,4.5168743489434895e-07,0.0003,0.2,-0.04482682120869867,-15.868797916173936,0.028013214,0.2658203125,-1.533409595489502,-0.22227850556373596,1.1884233951568604,800
367,167936,457,82,1.0734488087305039e-07,0.0003,0.2,-0.047328587592346594,-15.89329111278057,0.033964694,0.297314453125,-1.7270002365112305,-0.1872314065694809,1.187341570854187,810
371,169984,457,83,1.8384366824719666e-08,0.0003,0.2,-0.03785074872430414,-15.878530111908912,0.027725382,0.256494140625,-1.541635513305664,-0.14996005594730377,1.1859034299850464,820
376,172032,457,84,4.425431207252806e-09,0.0003,0.2,-0.040729657863266766,-15.876181516051293,0.03043867,0.2732421875,-2.2035653591156006,-0.1909009963274002,1.1858586072921753,830
380,174080,457,85,3.3686174869505814e-09,0.0003,0.2,-0.046157503078575246,-15.892232477664948,0.027633302,0.28466796875,-2.6699233055114746,-0.24480167031288147,1.1888283491134644,840
385,176128,457,86,8.790841153107076e-10,0.0003,0.2,-0.04394511530408636,-15.910527271032333,0.0306478,0.291650390625,-0.71654212474823,-0.21299922466278076,1.1910580396652222,850
389,178176,457,87,1.991685418673006e-09,0.0003,0.2,-0.04691823216708144,-15.916670340299607,0.033683375,0.3041015625,0.13036739826202393,-0.17973943054676056,1.1910361051559448,860
