time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates
229,5,44,49152,-0.05225006822438445,-0.1676185578107834,0.024446324,1.0429270267486572,0.243798828125,0.0003,0.2,0.44545761817134916,-14.606627255678177,0.036924660205841064,230
227,6,54,51200,-0.0605154539225623,-0.1866092085838318,0.03425198,1.0462149381637573,0.3119140625,0.0003,0.2,0.30795563861029224,-14.625134798884392,0.029261469841003418,240
225,7,63,53248,-0.06916256004187744,-0.06114834547042847,0.029753964,1.0483726263046265,0.295556640625,0.0003,0.2,0.2860860523767769,-14.652086362242699,0.588418185710907,250
224,8,72,55296,-0.045693821914028376,1.2815057039260864,0.017683106,1.0488321781158447,0.170703125,0.0003,0.2,1.4187323577702045,-14.664906194806099,0.1530866026878357,260
224,9,82,57344,-0.06296900011075195,-0.0868322104215622,0.03302675,1.0464285612106323,0.3064453125,0.0003,0.2,0.33147560853976754,-14.6559713691473,-0.0950009822845459,270
223,10,91,59392,-0.05387048004195094,-0.011790499091148376,0.027678274,1.0493603944778442,0.25947265625,0.0003,0.2,0.34492569959256797,-14.655215540528298,0.2397160530090332,280
222,11,101,61440,-0.06620004406722728,-0.16975276172161102,0.040575646,1.0542705059051514,0.352685546875,0.0003,0.2,0.2721260096412152,-14.700776818394662,0.6514051854610443,290
221,12,111,63488,-0.05324833733029664,0.21213141083717346,0.028638372,1.059890627861023,0.283837890625,0.0003,0.2,0.7439594904426485,-14.748054227232933,0.06535911560058594,300
219,13,121,65536,-0.05345430281886365,-0.10530737787485123,0.0342111,1.0670661926269531,0.318701171875,0.0003,0.2,0.45585904160980134,-14.81067610681057,-0.190376877784729,310
217,14,131,67584,-0.05920107458368875,0.2537517547607422,0.030306991,1.0698078870773315,0.2798828125,0.0003,0.2,0.5321935387793928,-14.853689852356911,0.2411210536956787,320
216,15,141,69632,-0.06032029282505391,-0.1953514814376831,0.03314164,1.069460391998291,0.300439453125,0.0003,0.2,0.2640698698232882,-14.862866684794426,0.3997882604598999,330
215,16,152,71680,-0.06457570072379895,-0.18590781092643738,0.037274044,1.0723541975021362,0.326611328125,0.0003,0.2,0.3078214057255536,-14.880451261997223,-0.2804213762283325,340
