timestamp,step,episode,base_pos_x,base_pos_y,base_pos_z,base_vel_x,base_vel_y,base_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,ee1_pos_x,ee1_pos_y,ee1_pos_z,ee2_pos_x,ee2_pos_y,ee2_pos_z,ee3_pos_x,ee3_pos_y,ee3_pos_z,ee4_pos_x,ee4_pos_y,ee4_pos_z,target_x,target_y,target_z,distance_to_target,ee_target_distances,tendon_force_index,tendon_force_middle,tendon_force_ring,tendon_force_thumb,control_linear_x,control_linear_y,control_linear_z,control_angular_x,control_angular_y,control_angular_z,tactile_deformation_spans,tactile_contact_detected,reward,distance_reward,tendon_efficiency_reward,success,gpu_memory_used
1758015685.2429948,619,14,-0.0027992282856743305,0.4171346120039986,0.6212654322769061,1.0544808237487917,2.216021836547836,0.5187569989560189,-75.12817448778532,22.47996864162858,50.2557063056821,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.45700468870760624,0,0.0,0.8897841,0.0,0.16045335,-0.38184163,-0.1592869,0.13668631,-0.19972034,-0.75777376,1.0,0.0,0,0.18152968639876219,0.10177167619015545,0.13818482905626298,False,0.008577024
1758015685.2438133,620,14,-0.026291241963918584,0.4055463090992147,0.6092650096568496,-2.8190416413893105,-1.3905963485740696,-1.440050714406784,70.6935921435109,20.233897621621917,-48.48811970476599,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4570110630089411,0,0.21901864,0.29037675,0.4228877,0.65275097,0.62540513,0.6739735,-0.38388386,-0.07635872,-0.09316004,-1.0,0.0,0,0.16797050259317256,0.10176843262518738,0.13216836735606194,False,0.008577024
1758015685.2447426,621,14,-0.029774864571414462,0.43380108886815366,0.6152246902808313,-0.41803471289950567,3.39057357227268,0.7151616748778011,76.19491077287798,51.623424956144234,-18.33990615286214,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4787078119513675,0,0.583478,0.35437593,0.33440027,0.0,0.43878943,-0.5650823,0.895558,0.015423674,1.0,-0.82178265,0.0,0,0.17074324605538016,0.09130597410275107,0.1356871399283409,False,0.008577024
1758015685.245694,622,14,-0.07835924867417407,0.358902426111143,0.568204340226601,-5.830126092331152,-8.987839530841281,-5.642442006507628,66.34764141925308,44.77076635760797,-82.13626051145167,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4461761467388367,0,0.86397195,0.10612944,0.24601156,0.9793145,-0.6908765,0.17201944,1.0,0.83518934,-0.6007999,1.0,0.0,0,0.15633159220392834,0.1074337679165138,0.12530144155025483,False,0.008577024
1758015685.2466414,623,14,-0.0504410730246348,0.3426583107426011,0.5746246761032664,3.350181077944713,-1.9492938442250232,0.7704403051998454,66.77560014070389,-64.16233907507856,22.974413576502872,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.42170879546540635,0,0.73330307,0.11429742,0.08095363,0.11060637,-0.20249091,0.224626,0.7882294,-1.0,-0.69522244,-0.85297567,0.0,0,0.19099823053234474,0.12141462023609537,0.13830944448709487,False,0.008577024
1758015685.2477329,624,14,-0.08138802525703637,0.33220234953666156,0.6018117836572511,-3.713634267888188,-1.2547153447127442,3.262452906478159,55.26279891428615,65.71201416252856,60.87400199083701,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4543400641029627,0,1.0,0.10283372,1.0,0.82126456,1.0,-0.017020114,0.015864491,0.47360256,0.87166893,-0.417305,0.0,0,0.14555355012278137,0.10313666552166523,0.11710389465093612,False,0.008577024
1758015685.2486763,625,14,-0.05306206203525428,0.29613466095706376,0.6568435399989735,3.399115586613851,-4.328122629551733,6.6038107610066845,68.90954175210737,88.8538439173835,66.83283105958975,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.45536239482108964,0,0.47898957,0.8463727,0.99400485,0.6640375,0.38646054,1.0,-0.94662946,1.0,0.20787328,-1.0,0.0,0,0.16192607061177278,0.1026108117511847,0.1164366978406906,False,0.008577024
1758015685.24961,626,14,-0.020282582948830744,0.2584959807023346,0.6625690457160589,3.9335374903708242,-4.5166416305675,0.687060686050251,61.44340451337497,50.81272312172893,75.90914517367635,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.42722764518919026,0,0.061834693,0.7296228,0.6671079,0.51560795,-0.76089776,-0.3324325,0.40033233,-0.8682962,0.9464003,-0.5283585,0.0,0,0.17691368540666913,0.11811007788322779,0.12779055029153824,False,0.008577024
1758015685.2505324,627,14,-0.017935617779018455,0.28671936664337716,0.646239286185547,0.2816358203774748,3.386806312925107,-1.9595711436614194,-19.873990544924084,64.35948542312252,29.001586645531198,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.42218407735218166,0,0.6995941,0.77619123,0.28466392,0.2268486,0.5046395,0.032843538,-0.36561224,-0.6631892,-0.48556942,-0.20025012,0.0,0,0.19282827330383176,0.12112643194946164,0.12764290004968643,False,0.008577024
1758015685.2514668,628,14,0.012884065914529664,0.2014458565252495,0.6403767047097584,3.6983620432257744,-10.232821214175322,-0.7035097770946355,79.35040416126385,38.72373339610923,81.91088575737919,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.3784035847992721,0,0.8016273,0.7035468,0.88438344,0.40285164,-0.8307737,-0.05732229,0.95501024,1.0,0.13982292,0.933048,0.0,0,0.20267273855357454,0.15076726478486346,0.11858539670705795,False,0.008577024
1758015685.2524395,629,14,-0.007804947825952986,0.22572122910678444,0.648826264756149,-2.482681648857918,2.9130447097841925,1.0139472055668808,-87.86996664441257,-4.732652213417218,-73.2912258466734,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.401863449655597,0,0.22300029,0.6122821,0.10083288,0.7404984,-0.95773387,1.0,1.0,-0.6624983,-0.03764401,1.0,0.0,0,0.20316770789047411,0.1340801869036787,0.1311380960047245,False,0.008577024
1758015685.2533827,630,14,0.0007576041028381063,0.22797659924481317,0.6029682289235656,1.027506231454931,0.27064441656344707,-5.502964299910012,73.12520512514259,39.79542623018621,37.23638617499215,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.3635863677134627,0,0.1880331,1.0,0.6768446,0.62730134,1.0,1.0,-0.13690364,0.9059941,-1.0,0.38870704,0.0,0,0.21345381418580003,0.16236119309777208,0.12196298718452453,False,0.008577024
1758015685.2543173,631,14,-0.018793295693203593,0.2784011965052037,0.5830438636827399,-2.3461079755250043,6.050951671246863,-2.3909238288990866,94.8701922233135,54.605941511904746,87.87241968061363,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.37821441732668176,0,0.5260915,0.6551552,0.7582804,0.25246447,0.53473747,1.0,0.7483961,-1.0,1.0,-1.0,0.0,0,0.20104030828673197,0.15090993355709864,0.12534009486436845,False,0.008577024
1758015685.2551858,632,14,-0.06644600382541907,0.3077562689135682,0.57374537649939,-5.718324975865857,3.5226086890037447,-1.1158184620019957,94.5935341620811,68.7438739321135,43.97293364112658,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.4184341133601095,0,0.34396112,0.37338263,0.8464863,0.22720966,-0.53979635,0.03377468,-1.0,0.19541322,-0.21903804,-0.8707072,0.0,0,0.1913179451032263,0.12341895578342495,0.1298508033156395,False,0.008577024
1758015685.2561173,633,14,-0.07526687727119073,0.2598278936476698,0.6328686317372447,-1.0585048134925992,-5.751405031907813,7.094790628542576,84.91685139587769,-55.54469557312676,56.90119260788839,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0.35,0.44483184518842256,0,1.0,0.0,0.7359862,0.7467879,0.036008306,-0.5646655,0.8439514,-1.0,0.9933093,0.8641235,0.0,0,0.15184893838093974,0.10815831712411143,0.12206878960132599,False,0.008577024
