time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/value_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/std,train/policy_gradient_loss,train/entropy_loss
145,36864,253,18,82415.03686523438,8.64267349243164e-06,0.010142576,0.0003,170,0.1103515625,42390.15625,0.2,1.0187931060791016,-0.025186390752787703,-14.382690304517746
157,38912,246,19,81691.41989746093,2.6226043701171875e-06,0.010021808,0.0003,180,0.104248046875,39226.30078125,0.2,1.0188531875610352,-0.024848857912002132,-14.376304098963738
171,40960,239,20,77172.23948974609,4.845857620239258e-05,0.0105894795,0.0003,190,0.114990234375,39844.77734375,0.2,1.0193159580230713,-0.028464330502902157,-14.378439351916313
185,43008,231,21,81958.73397216797,-0.0008804798126220703,0.011049712,0.0003,200,0.106396484375,41901.35546875,0.2,1.0214500427246094,-0.02767262563575059,-14.389087837934493
199,45056,225,22,69002.89887695313,-0.007516145706176758,0.010900581,0.0003,210,0.111669921875,31680.130859375,0.2,1.0277904272079468,-0.027712811721721665,-14.433370438218116
214,47104,219,23,71543.37384033203,4.947185516357422e-06,0.011698679,0.0003,220,0.11875,34914.7890625,0.2,1.0343350172042847,-0.028362863034999464,-14.500427335500717
230,49152,213,24,83902.55642089844,4.76837158203125e-07,0.013255417,0.0003,230,0.140234375,43954.9765625,0.2,1.0333645343780518,-0.032177904568379746,-14.517324638366699
246,51200,207,25,71633.27551269531,1.043081283569336e-05,0.01110116,0.0003,240,0.12373046875,37706.26171875,0.2,1.0347832441329956,-0.028773282616748476,-14.521272304654122
263,53248,202,26,69488.49952392578,2.8014183044433594e-06,0.011058161,0.0003,250,0.131005859375,42923.95703125,0.2,1.0389095544815063,-0.028356493409955875,-14.546518486738204
279,55296,197,27,71526.09178466797,7.987022399902344e-06,0.012774276,0.0003,260,0.130908203125,35222.47265625,0.2,1.0416698455810547,-0.03208375371905277,-14.580770149827003
