time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/std,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss
135168,160,840,66,53635.44466552734,0.159521484375,-15.202088311314583,650,-1.1920928955078125e-07,0.2,1.109973430633545,25728.033203125,0.013789312,0.0003,-0.03344314367714105
137216,157,873,67,54992.21743164062,0.158251953125,-15.212651744484901,660,-3.5762786865234375e-07,0.2,1.1089410781860352,26886.408203125,0.014987834,0.0003,-0.03347214297973551
139264,154,900,68,62409.32724609375,0.126416015625,-15.231394958496093,670,-0.03171133995056152,0.2,1.113316535949707,29504.109375,0.0120603,0.0003,-0.02745519742165925
141312,153,923,69,59331.186206054685,0.156884765625,-15.283076259493829,680,4.0531158447265625e-06,0.2,1.1199699640274048,27882.765625,0.015390739,0.0003,-0.030870509248052257
143360,151,946,70,65746.50766601562,0.145751953125,-15.330436012148857,690,-3.5762786865234375e-07,0.2,1.124640703201294,35341.89453125,0.013735033,0.0003,-0.03247765417472692
145408,149,970,71,39325.844689941405,0.169140625,-15.385524436831474,700,-1.4424324035644531e-05,0.2,1.1310731172561646,19763.57421875,0.017133212,0.0003,-0.035881709918612614
147456,148,994,72,51556.489526367186,0.153955078125,-15.39882635474205,710,-5.364418029785156e-05,0.2,1.1295876502990723,27588.9296875,0.015291419,0.0003,-0.03337064853112679
149504,146,1019,73,40434.35531005859,0.182568359375,-15.4049934476614,720,0.0,0.2,1.1321556568145752,22023.837890625,0.015868917,0.0003,-0.033461538566916714
151552,144,1045,74,49745.44191894531,0.179052734375,-15.428417918086051,730,0.0,0.2,1.134933590888977,23850.140625,0.015900604,0.0003,-0.03671155519259628
153600,143,1073,75,60400.7931640625,0.1708984375,-15.452009254693985,740,1.1920928955078125e-07,0.2,1.136886715888977,30075.857421875,0.015424183,0.0003,-0.03377996768249432
155648,141,1101,76,53148.46944580078,0.167138671875,-15.464673468470574,750,0.0,0.2,1.13913893699646,26266.966796875,0.0152387675,0.0003,-0.03172949014842743
157696,138,1134,77,64563.27994384766,0.135791015625,-15.465489974617958,760,-2.1457672119140625e-06,0.2,1.1370583772659302,33362.9296875,0.012779573,0.0003,-0.02680906758614583
